frase,situacao
sinto dor no peito e falta de ar desde hoje cedo,alto risco
to com um aperto forte no peito e suor frio,alto risco
dor no peito que vai pro braco com enjoo,alto risco
to sem ar mesmo parado e muito cansado,alto risco
meu coracao disparou e quase desmaiei,alto risco
tive um leve desconforto no peito depois do almoco,baixo risco
um pouco de cansaco depois de subir escada,baixo risco
senti uma dor nas costas leve hoje,baixo risco
to meio cansado porque dormi mal,baixo risco
leve falta de ar depois de correr,baixo risco
senti o coracao acelerar um pouco por ansiedade,baixo risco
to com dor forte no peito e suando frio,alto risco
falta de ar ao deitar e cansaco constante,alto risco
tive tontura e quase desmaio hoje,alto risco
pequeno desconforto no peito que passou rapido,baixo risco
